MINIMIZING PARABOLA (1000 gens, gray)
PARABOLA
1000
gray
Gen #	minima
116	0.11306000000000001
117	0.11306000000000001
118	0.11306000000000001
119	0.11306000000000001
120	0.11306000000000001
121	0.11306000000000001
122	0.11306000000000001
123	0.11306000000000001
124	0.11306000000000001
125	0.11306000000000001
126	0.11306000000000001
127	0.11306000000000001
128	0.014005999999999998
129	0.014005999999999998
130	0.014005999999999998
131	0.014005999999999998
132	0.013960999999999998
133	0.013960999999999998
134	0.013960999999999998
135	0.013960999999999998
136	0.013960999999999998
137	0.013960999999999998
138	0.013960999999999998
139	0.013960999999999998
140	0.013960999999999998
141	0.013960999999999998
142	0.013960999999999998
143	0.013960999999999998
144	0.013960999999999998
145	0.013960999999999998
146	0.013925999999999997
147	0.013925999999999997
148	0.013925999999999997
149	0.013925999999999997
150	0.013925999999999997
151	0.013925999999999997
152	0.013925999999999997
153	0.012771
154	0.012771
155	0.012771
156	0.012771
157	0.012771
158	0.012771
159	0.012771
160	0.012771
161	0.012771
162	0.012771
163	0.012771
164	0.012771
165	0.012771
166	0.012771
167	0.012771
168	0.012771
169	0.012771
170	0.012771
171	0.012771
172	0.012771
173	0.012771
174	0.012101999999999998
175	0.012101999999999998
176	0.012101999999999998
177	0.012101999999999998
178	0.012101999999999998
179	0.012101999999999998
180	0.011882999999999998
181	0.011026999999999997
182	0.011026999999999997
183	0.011026999999999997
184	0.011026999999999997
185	0.011026999999999997
186	0.011026999999999997
187	0.011026999999999997
188	0.011025999999999998
189	0.011025999999999998
190	0.011025999999999998
191	0.011025999999999998
192	0.011025999999999998
193	0.011025999999999998
194	0.011025999999999998
195	0.011025999999999998
196	0.010817999999999998
197	0.010817999999999998
198	0.010817999999999998
199	0.010817999999999998
200	0.010817999999999998
201	0.010817999999999998
202	0.010817999999999998
203	0.010817999999999998
204	0.010817999999999998
205	0.010817999999999998
206	0.010816999999999998
207	0.010816999999999998
208	0.010816999999999998
209	0.010816999999999998
210	0.010816999999999998
211	0.010816999999999998
212	0.010816999999999998
213	0.010816999999999998
214	0.010816999999999998
215	0.010816999999999998
216	0.010816999999999998
217	0.010816999999999998
218	0.010816999999999998
219	0.010816999999999998
220	0.010816999999999998
221	0.010816999999999998
222	0.010816999999999998
223	0.010816999999999998
224	0.010816999999999998
225	0.010816999999999998
226	0.010610999999999997
227	0.010609999999999998
228	0.010609999999999998
229	0.010609999999999998
230	0.010609999999999998
231	0.010609999999999998
232	0.010609999999999998
233	0.010609999999999998
234	0.010609999999999998
235	0.010609999999999998
236	0.010609999999999998
237	0.010609999999999998
238	0.010609999999999998
239	0.010609999999999998
240	0.010609999999999998
241	0.010609999999999998
242	0.010609999999999998
243	0.010609999999999998
244	0.010609999999999998
245	0.010609999999999998
246	0.010608999999999999
247	0.010608999999999999
248	0.010608999999999999
249	0.010608999999999999
250	0.010608999999999999
251	0.010608999999999999
252	0.010608999999999999
253	0.010608999999999999
254	0.009217
255	0.009217
256	0.009217
257	0.009217
258	0.009217
259	0.009217
260	0.009217
261	0.007744999999999999
262	0.007744999999999999
263	0.007743999999999999
264	0.007743999999999999
265	0.007743999999999999
266	0.007743999999999999
267	0.007743999999999999
268	0.007743999999999999
269	0.007743999999999999
270	0.007743999999999999
271	0.007743999999999999
272	0.007743999999999999
273	0.007743999999999999
274	0.007743999999999999
275	0.007743999999999999
276	0.007743999999999999
277	0.007743999999999999
278	0.007743999999999999
279	0.007743999999999999
280	0.001521
281	0.001521
282	0.001521
283	0.001521
284	0.001521
285	0.001521
286	0.001521
287	0.001521
288	0.001521
289	0.001521
290	0.001521
291	0.001521
292	0.001521
293	0.001521
294	0.001521
295	0.001521
296	0.001521
297	0.001521
298	0.001521
299	0.000576
300	0.000576
301	0.000576
302	0.000576
303	0.000576
304	0.000576
305	0.000576
306	0.000576
307	0.000576
308	0.000576
309	0.000576
310	0.000576
311	0.000576
312	0.000576
313	0.000576
314	0.000576
315	0.000576
316	0.000576
317	0.000576
318	0.000576
319	0.000576
320	0.000576
321	0.000576
322	0.000576
323	0.000576
324	0.000576
325	0.000576
326	0.000576
327	0.000576
328	0.000576
329	0.000576
330	0.000576
331	0.000576
332	0.000576
333	0.000576
334	0.000576
335	0.000576
336	0.000576
337	0.000576
338	0.000576
339	0.000576
340	0.000576
341	0.000576
342	0.000576
343	0.000576
344	0.000576
345	0.000576
346	0.000576
347	0.000576
348	0.000576
349	0.000576
350	0.000576
351	0.000576
352	0.000576
353	0.000576
354	0.000576
355	0.000576
356	0.000576
357	0.000576
358	0.000576
359	0.000576
360	0.000576
361	0.000576
362	0.000576
363	0.000576
364	0.000576
365	0.000576
366	0.000576
367	0.000576
368	0.000576
369	0.000576
370	0.000576
371	0.000576
372	0.000576
373	0.000576
374	0.000576
375	0.000576
376	0.000576
377	0.000576
378	0.000576
379	0.000576
380	0.000576
381	0.000576
382	0.000576
383	0.000576
384	0.000576
385	0.000576
386	0.000576
387	0.000576
388	0.000576
389	0.000576
390	0.000576
391	0.000576
392	0.000576
393	0.000576
394	0.000576
395	0.000576
396	0.0
397	0.0
398	0.0
399	0.0
400	0.0
401	0.0
402	0.0
403	0.0
404	0.0
405	0.0
406	0.0
407	0.0
408	0.0
409	0.0
410	0.0
411	0.0
412	0.0
413	0.0
414	0.0
415	0.0
416	0.0
417	0.0
418	0.0
419	0.0
420	0.0
421	0.0
422	0.0
423	0.0
424	0.0
425	0.0
426	0.0
427	0.0
428	0.0
429	0.0
430	0.0
431	0.0
432	0.0
433	0.0
434	0.0
435	0.0
436	0.0
437	0.0
438	0.0
439	0.0
440	0.0
441	0.0
442	0.0
443	0.0
444	0.0
445	0.0
446	0.0
447	0.0
448	0.0
449	0.0
450	0.0
451	0.0
452	0.0
453	0.0
454	0.0
455	0.0
456	0.0
457	0.0
458	0.0
459	0.0
460	0.0
461	0.0
462	0.0
463	0.0
464	0.0
465	0.0
466	0.0
467	0.0
468	0.0
469	0.0
470	0.0
471	0.0
472	0.0
473	0.0
474	0.0
475	0.0
476	0.0
477	0.0
478	0.0
479	0.0
480	0.0
481	0.0
482	0.0
483	0.0
484	0.0
485	0.0
486	0.0
487	0.0
488	0.0
489	0.0
490	0.0
491	0.0
492	0.0
493	0.0
494	0.0
495	0.0
496	0.0
497	0.0
498	0.0
499	0.0
500	0.0
501	0.0
502	0.0
503	0.0
504	0.0
505	0.0
506	0.0
507	0.0
508	0.0
509	0.0
510	0.0
511	0.0
512	0.0
513	0.0
514	0.0
515	0.0
516	0.0
517	0.0
518	0.0
519	0.0
520	0.0
521	0.0
522	0.0
523	0.0
524	0.0
525	0.0
526	0.0
527	0.0
528	0.0
529	0.0
530	0.0
531	0.0
532	0.0
533	0.0
534	0.0
535	0.0
536	0.0
537	0.0
538	0.0
539	0.0
540	0.0
541	0.0
542	0.0
543	0.0
544	0.0
545	0.0
546	0.0
547	0.0
548	0.0
549	0.0
550	0.0
551	0.0
552	0.0
553	0.0
554	0.0
555	0.0
556	0.0
557	0.0
558	0.0
559	0.0
560	0.0
561	0.0
562	0.0
563	0.0
564	0.0
565	0.0
566	0.0
567	0.0
568	0.0
569	0.0
570	0.0
571	0.0
572	0.0
573	0.0
574	0.0
575	0.0
576	0.0
577	0.0
578	0.0
579	0.0
580	0.0
581	0.0
582	0.0
583	0.0
584	0.0
585	0.0
586	0.0
587	0.0
588	0.0
589	0.0
590	0.0
591	0.0
592	0.0
593	0.0
594	0.0
595	0.0
596	0.0
597	0.0
598	0.0
599	0.0
600	0.0
601	0.0
602	0.0
603	0.0
604	0.0
605	0.0
606	0.0
607	0.0
608	0.0
609	0.0
610	0.0
611	0.0
612	0.0
613	0.0
614	0.0
615	0.0
616	0.0
617	0.0
618	0.0
619	0.0
620	0.0
621	0.0
622	0.0
623	0.0
624	0.0
625	0.0
626	0.0
627	0.0
628	0.0
629	0.0
630	0.0
631	0.0
632	0.0
633	0.0
634	0.0
635	0.0
636	0.0
637	0.0
638	0.0
639	0.0
640	0.0
641	0.0
642	0.0
643	0.0
644	0.0
645	0.0
646	0.0
647	0.0
648	0.0
649	0.0
650	0.0
651	0.0
652	0.0
653	0.0
654	0.0
655	0.0
656	0.0
657	0.0
658	0.0
659	0.0
660	0.0
661	0.0
662	0.0
663	0.0
664	0.0
665	0.0
666	0.0
667	0.0
668	0.0
669	0.0
670	0.0
671	0.0
672	0.0
673	0.0
674	0.0
675	0.0
676	0.0
677	0.0
678	0.0
679	0.0
680	0.0
681	0.0
682	0.0
683	0.0
684	0.0
685	0.0
686	0.0
687	0.0
688	0.0
689	0.0
690	0.0
691	0.0
692	0.0
693	0.0
694	0.0
695	0.0
696	0.0
697	0.0
698	0.0
699	0.0
700	0.0
701	0.0
702	0.0
703	0.0
704	0.0
705	0.0
706	0.0
707	0.0
708	0.0
709	0.0
710	0.0
711	0.0
712	0.0
713	0.0
714	0.0
715	0.0
716	0.0
717	0.0
718	0.0
719	0.0
720	0.0
721	0.0
722	0.0
723	0.0
724	0.0
725	0.0
726	0.0
727	0.0
728	0.0
729	0.0
730	0.0
731	0.0
732	0.0
733	0.0
734	0.0
735	0.0
736	0.0
737	0.0
738	0.0
739	0.0
740	0.0
741	0.0
742	0.0
743	0.0
744	0.0
745	0.0
746	0.0
747	0.0
748	0.0
749	0.0
750	0.0
751	0.0
752	0.0
753	0.0
754	0.0
755	0.0
756	0.0
757	0.0
758	0.0
759	0.0
760	0.0
761	0.0
762	0.0
763	0.0
764	0.0
765	0.0
766	0.0
767	0.0
768	0.0
769	0.0
770	0.0
771	0.0
772	0.0
773	0.0
774	0.0
775	0.0
776	0.0
777	0.0
778	0.0
779	0.0
780	0.0
781	0.0
782	0.0
783	0.0
784	0.0
785	0.0
786	0.0
787	0.0
788	0.0
789	0.0
790	0.0
791	0.0
792	0.0
793	0.0
794	0.0
795	0.0
796	0.0
797	0.0
798	0.0
799	0.0
800	0.0
801	0.0
802	0.0
803	0.0
804	0.0
805	0.0
806	0.0
807	0.0
808	0.0
809	0.0
810	0.0
811	0.0
812	0.0
813	0.0
814	0.0
815	0.0
816	0.0
817	0.0
818	0.0
819	0.0
820	0.0
821	0.0
822	0.0
823	0.0
824	0.0
825	0.0
826	0.0
827	0.0
828	0.0
829	0.0
830	0.0
831	0.0
832	0.0
833	0.0
834	0.0
835	0.0
836	0.0
837	0.0
838	0.0
839	0.0
840	0.0
841	0.0
842	0.0
843	0.0
844	0.0
845	0.0
846	0.0
847	0.0
848	0.0
849	0.0
850	0.0
851	0.0
852	0.0
853	0.0
854	0.0
855	0.0
856	0.0
857	0.0
858	0.0
859	0.0
860	0.0
861	0.0
862	0.0
863	0.0
864	0.0
865	0.0
866	0.0
867	0.0
868	0.0
869	0.0
870	0.0
871	0.0
872	0.0
873	0.0
874	0.0
875	0.0
876	0.0
877	0.0
878	0.0
879	0.0
880	0.0
881	0.0
882	0.0
883	0.0
884	0.0
885	0.0
886	0.0
887	0.0
888	0.0
889	0.0
890	0.0
891	0.0
892	0.0
893	0.0
894	0.0
895	0.0
896	0.0
897	0.0
898	0.0
899	0.0
900	0.0
901	0.0
902	0.0
903	0.0
904	0.0
905	0.0
906	0.0
907	0.0
908	0.0
909	0.0
910	0.0
911	0.0
912	0.0
913	0.0
914	0.0
915	0.0
916	0.0
917	0.0
918	0.0
919	0.0
920	0.0
921	0.0
922	0.0
923	0.0
924	0.0
925	0.0
926	0.0
927	0.0
928	0.0
929	0.0
930	0.0
931	0.0
932	0.0
933	0.0
934	0.0
935	0.0
936	0.0
937	0.0
938	0.0
939	0.0
940	0.0
941	0.0
942	0.0
943	0.0
944	0.0
945	0.0
946	0.0
947	0.0
948	0.0
949	0.0
950	0.0
951	0.0
952	0.0
953	0.0
954	0.0
955	0.0
956	0.0
957	0.0
958	0.0
959	0.0
960	0.0
961	0.0
962	0.0
963	0.0
964	0.0
965	0.0
966	0.0
967	0.0
968	0.0
969	0.0
970	0.0
971	0.0
972	0.0
973	0.0
974	0.0
975	0.0
976	0.0
977	0.0
978	0.0
979	0.0
980	0.0
981	0.0
982	0.0
983	0.0
984	0.0
985	0.0
986	0.0
987	0.0
988	0.0
989	0.0
990	0.0
991	0.0
992	0.0
993	0.0
994	0.0
995	0.0
996	0.0
997	0.0
998	0.0
999	0.0
1000	0.0
minimum found: [0.0, 0.0, 0.0], 0.0

